"key","en","es","nl","fr"
electricity:elec_panel_a_fountain,"Fountain (Fuente): Fountain circuit (pool water feature or decorative fountain pump).","Fuente: Circuito de la fuente (sistema de agua de la piscina o bomba de la fuente decorativa).","Fontein (Fuente): Fonteincircuit (waterpartij of pomp voor decoratieve fontein).","Fontaine (Fuente) : circuit de fontaine (jeu d&#x27;eau pour bassin ou pompe de fontaine décorative)."
electricity:elec_panel_a_laundry,"Laundry Area (Lavanderia): Laundry area circuit (supplying washing machine or communal utility outlets).","Zona de lavandería (Lavandería): Circuito de la zona de lavandería (que alimenta la lavadora o las tomas de corriente comunes).","Wasruimte (Lavanderia): Aansluitcircuit voor de wasruimte (voor de wasmachine of gemeenschappelijke stopcontacten).","Espace buanderie (Lavanderia) : circuit de l&#x27;espace buanderie (alimentant le lave-linge ou les prises électriques communes)."
electricity:elec_panel_a_lighting,"Lighting (Alumbrado): Common area lighting circuit for the internal hallways and stairwells on this floor.","Iluminación (Alumbrado): Circuito de iluminación de las zonas comunes para los pasillos y las escaleras interiores de esta planta.","Verlichting (Alumbrado): Verlichtingscircuit voor de gemeenschappelijke ruimtes, namelijk de binnengangen en trappenhuizen op deze verdieping.","Éclairage (Alumbrado) : circuit d&#x27;éclairage des parties communes pour les couloirs intérieurs et les cages d&#x27;escalier de cet étage."
electricity:elec_panel_a_loc_label,"Location:","Ubicación:","Locatie:","Lieu :"
electricity:elec_panel_a_loc_value,"Hidden behind the large poster on the wall directly in front of the entry door. Remove the poster to access the box.","Está escondida detrás del gran póster que hay en la pared, justo enfrente de la puerta de entrada. Retira el póster para acceder a la caja.","Verborgen achter de grote poster aan de muur, recht tegenover de voordeur. Haal de poster weg om bij de doos te komen.","Cachée derrière la grande affiche accrochée au mur, juste en face de la porte d&#x27;entrée. Retirez l&#x27;affiche pour accéder à la boîte."
electricity:elec_panel_a_mid_header,"Middle Row Circuit Breakdown:","Desglose del circuito de la fila central:","Overzicht van het middelste rij-circuit:","Analyse du circuit de la rangée du milieu :"
electricity:elec_panel_a_pool_lights,"Pool & Exterior Lighting (Luz Piscina / Luz Exterior): Pool lighting and outdoor perimeter lighting circuits.","Iluminación de piscina y exterior (Luz de piscina / Luz exterior): Circuitos de iluminación de la piscina y de iluminación perimetral exterior.","Zwembad- en buitenverlichting (Luz Piscina / Luz Exterior): Stroomcircuits voor zwembadverlichting en buitenverlichting rondom het terrein.","Éclairage de piscine et extérieur (Luz Piscina / Luz Exterior) : circuits d&#x27;éclairage de piscine et d&#x27;éclairage périphérique extérieur."
electricity:elec_panel_a_portero,"Intercom System (Portero): Intercom system power supply. Feeds the Fermax electronic door keeper power supply unit located directly on the right side of the bottom row.","Sistema de intercomunicación (Portero): Fuente de alimentación del sistema de intercomunicación. Alimenta la fuente de alimentación del portador electrónico Fermax, situada justo a la derecha de la fila inferior.","Intercomsysteem (Portero): Voeding voor het intercomsysteem. Voorziet de elektronische deurhouder van Fermax van stroom; deze bevindt zich direct aan de rechterkant van de onderste rij.","Système d&#x27;interphone (Portero) : alimentation électrique du système d&#x27;interphone. Alimente le bloc d&#x27;alimentation du gâche électrique Fermax situé directement à droite de la rangée du bas."
electricity:elec_panel_a_restroom_lights,"Restroom Lighting (Luz Aseos): Toilets/bathrooms lighting circuit for communal or service washrooms.","Iluminación de aseos (Luz Aseos): Circuito de iluminación para aseos o baños de uso común o de servicio.","Verlichting van sanitaire ruimtes (Luz Aseos): Verlichtingscircuit voor toiletten/badkamers in gemeenschappelijke of dienstruimtes.","Éclairage des sanitaires (Luz Aseos) : circuit d&#x27;éclairage des toilettes/salles de bains destiné aux sanitaires collectifs ou de service."
electricity:elec_panel_a_riti,"Telecommunications Infrastructure (RITI): Telecommunications infrastructure power supply (ICT / Registro de Infraestructuras de Telecomunicacion). Powers the building's central telecom and TV distribution amplifiers.","Infraestructura de telecomunicaciones (RITI): Suministro eléctrico de la infraestructura de telecomunicaciones (TIC / Registro de Infraestructuras de Telecomunicaciones). Suministra energía a los amplificadores centrales de distribución de telecomunicaciones y televisión del edificio.","Telecommunicatie-infrastructuur (RITI): Stroomvoorziening voor de telecommunicatie-infrastructuur (ICT / Registro de Infraestructuras de Telecomunicacion). Voorziet de centrale telecommunicatie- en tv-versterkers van het gebouw van stroom.","Infrastructure de télécommunications (RITI) : Alimentation électrique de l&#x27;infrastructure de télécommunications (TIC / Registre des infrastructures de télécommunications). Alimente les amplificateurs centraux de distribution des signaux de télécommunications et de télévision du bâtiment."
electricity:elec_panel_a_scope_label,"Panel Scope:","Ámbito del panel:","Toepassingsgebied van het paneel:","Portée du panel :"
electricity:elec_panel_a_scope_value,"Common Indoor Services, Telecommunications, Lighting & Pool/Utility Controls.","Servicios comunes en interiores, telecomunicaciones, iluminación y controles de piscinas y servicios públicos.","Algemene voorzieningen voor binnenruimtes, telecommunicatie, verlichting en besturing van zwembaden en nutsvoorzieningen.","Services communs en intérieur, télécommunications, éclairage et commandes de piscine/équipements techniques."
electricity:elec_panel_a_title,"First Floor Electrical Panel A","Cuadro eléctrico A de la primera planta","Elektriciteitskast A op de eerste verdieping","Tableau électrique A du premier étage"
electricity:elec_panel_a_top_header,"Top Row Circuit Breakdown:","Desglose del circuito de la fila superior:","Overzicht van de bovenste rij:","Analyse détaillée du circuit de la rangée supérieure :"
electricity:elec_panel_b_audio,"Audio & Extractor Hood (Audio / Campana): Audio systems and kitchen extractor hood circuits.","Audio y campana extractora (Audio / Campana): Circuitos de los sistemas de audio y de la campana extractora de la cocina.","Audio &amp; Afzuigkap (Audio / Campana): Audiosystemen en de bedrading van keukenafzuigkappen.","Système audio et hotte aspirante (Audio / Campana) : circuits des systèmes audio et des hottes aspirantes de cuisine."
electricity:elec_panel_b_bar_lights,"Bar Lighting / Lounge Lighting (Al. Barra / Al. Salon): Lighting circuits for the main lounge/living area.","Iluminación del bar / Iluminación del salón (Al. Barra / Al. Salón): Circuitos de iluminación para el salón principal o la zona de estar.","Barverlichting / Loungeverlichting (Al. Barra / Al. Salon): Verlichtingscircuits voor de hoofdlounge/woonruimte.","Éclairage du bar / Éclairage du salon (Al. Barra / Al. Salon) : circuits d&#x27;éclairage pour le salon principal."
electricity:elec_panel_b_bot_header,"Bottom Row Circuit Breakdown (Appliances & Heavy Loads):","Fallo en el circuito de la fila inferior (electrodomésticos y cargas pesadas):","Overbelasting van de onderste rij (huishoudelijke apparaten en zware belastingen):","Défaillance d&#x27;un disjoncteur de la rangée inférieure (appareils électroménagers et charges importantes) :"
electricity:elec_panel_b_coffee,"Coffee Machine (Cafetera): Dedicated circuit for the coffee machine or kitchen utility outlets.","Cafetera: Circuito específico para la cafetera o para las tomas de corriente de la cocina.","Koffiezetapparaat (Cafetera): Aparte stroomkring voor het koffiezetapparaat of de stopcontacten in de keuken.","Machine à café (Cafetera) : circuit dédié à la machine à café ou aux prises de courant de la cuisine."
electricity:elec_panel_b_diffs,"General Differential / Power Differential / Lighting Differential (Diferencial General / Diferencial Fuerza / Diferencial Alumbrado): Main residual current circuit breakers (RCDs) providing earth-leakage protection for general lines, power outlets, and lighting circuits.","Diferencial general / Diferencial de potencia / Diferencial de alumbrado: Interruptores diferenciales principales (RCD) que proporcionan protección contra fugas a tierra en las líneas generales, las tomas de corriente y los circuitos de alumbrado.","Algemene differentiaalschakelaar / Stroomdifferentiaalschakelaar / Verlichtingsdifferentiaalschakelaar (Diferencial General / Diferencial Fuerza / Diferencial Alumbrado): Hoofd-aardlekschakelaars (RCD&#x27;s) die aardlekbeveiliging bieden voor algemene leidingen, stopcontacten en verlichtingscircuits.","Différentiel général / Différentiel de puissance / Différentiel d&#x27;éclairage (Diferencial General / Diferencial Fuerza / Diferencial Alumbrado) : Disjoncteurs différentiels principaux (DCD) assurant la protection contre les fuites à la terre des lignes générales, des prises de courant et des circuits d&#x27;éclairage."
electricity:elec_panel_b_dishwasher,"Dishwasher (Lavajillas): Dedicated circuit for the dishwasher.","Lavavajillas: Circuito específico para el lavavajillas.","Vaatwasser (Lavajillas): Apart stroomcircuit voor de vaatwasser.","Lave-vaisselle (Lavajillas) : circuit électrique dédié au lave-vaisselle."
electricity:elec_panel_b_fryer,"Deep Fryer (Freidora): Dedicated high-load circuit for a deep fryer or auxiliary heavy kitchen appliance.","Freidora: Circuito específico de alta potencia para una freidora o un electrodoméstico de cocina auxiliar de gran potencia.","Frituurpan (Freidora): Speciaal circuit voor zware belasting, bestemd voor een frituurpan of een ander zwaar keukenapparaat.","Friteuse (Freidora) : circuit dédié à forte charge pour une friteuse ou un appareil de cuisine auxiliaire à forte consommation."
electricity:elec_panel_b_gen_lights,"General Lighting (Al. General): General lighting circuit.","Iluminación general (Al. General): Circuito de iluminación general.","Algemene verlichting (Al. General): circuit voor algemene verlichting.","Éclairage général (Al. General) : circuit d&#x27;éclairage général."
electricity:elec_panel_b_hob,"Ceramic Hob (Vitro): Dedicated high-load circuit for the ceramic/induction hob (cooktop).","Placa vitrocerámica (Vitro): Circuito específico de alta potencia para la placa vitrocerámica o de inducción.","Keramische kookplaat (Vitro): Speciaal circuit voor zware belasting, bestemd voor de keramische/inductiekookplaat.","Plaque vitrocéramique (Vitro) : circuit dédié à forte charge pour la plaque vitrocéramique/à induction."
electricity:elec_panel_b_iron,"Iron / Utility (Plancha): Dedicated circuit for an iron or heavy utility appliance.","Plancha / Electrodomésticos pesados: Circuito específico para una plancha o un electrodoméstico pesado.","Strijkijzer / Huishoudelijk apparaat (Plancha): Aparte stroomkring voor een strijkijzer of een zwaar huishoudelijk apparaat.","Fer à repasser / Appareil électroménager (Plancha) : Circuit dédié à un fer à repasser ou à un appareil électroménager puissant."
electricity:elec_panel_b_loc_label,"Location:","Ubicación:","Locatie:","Lieu :"
electricity:elec_panel_b_loc_value,"First floor, located on the left-hand wall between the main entrance door and the door leading to the swimming pool.","Primera planta, situado en la pared de la izquierda, entre la puerta de entrada principal y la puerta que da a la piscina.","Eerste verdieping, aan de linkerkant tussen de hoofdingang en de deur naar het zwembad.","Au premier étage, situé sur le mur de gauche, entre la porte d&#x27;entrée principale et la porte menant à la piscine."
electricity:elec_panel_b_outlets,"Power Outlets (Enchufes): General power outlet circuits (multiple standard socket lines).","Tomas de corriente (enchufes): Circuitos generales de tomas de corriente (líneas de enchufes múltiples estándar).","Stopcontacten (Enchufes): Algemene stopcontactcircuits (meerdere rijen met standaardstopcontacten).","Prises électriques (Enchufes) : circuits généraux de prises électriques (multiples rangées de prises standard)."
electricity:elec_panel_b_oven,"Oven (Horno): Dedicated high-load circuit for the oven.","Horno: Circuito específico de alta carga para el horno.","Oven (Horno): Speciaal stroomcircuit voor de oven, geschikt voor zware belasting.","Four (Horno) : circuit dédié à forte charge pour le four."
electricity:elec_panel_b_scope_label,"Panel Scope:","Ámbito del panel:","Toepassingsgebied van het paneel:","Portée du groupe d&#x27;experts :"
electricity:elec_panel_b_scope_value,"Apartment or Main Utility Power Distribution (General Protection, Lighting, Common/Salon Circuits, Kitchen Appliances, and Heavy-Load Equipment).","Distribución eléctrica del piso o de la red principal (protección general, iluminación, circuitos comunes y del salón, electrodomésticos de cocina y equipos de alta potencia).","Stroomverdeling in het appartement of het hoofdnet (algemene beveiliging, verlichting, gemeenschappelijke/woonkamer-stroomcircuits, keukenapparatuur en apparatuur met een hoog stroomverbruik).","Appartement ou réseau de distribution électrique principal (protection générale, éclairage, circuits communs/du salon, appareils électroménagers de cuisine et équipements à forte consommation)."
electricity:elec_panel_b_spare,"Spare / Free (Libre): Spare/available circuit breaker.","De reserva / Libre (Libre): Interruptor automático de reserva o disponible.","Reserve / Vrij (Libre): Reserve-/beschikbare stroomonderbreker.","De réserve / Libre (Libre) : Disjoncteur de réserve/disponible."
electricity:elec_panel_b_title,"First Floor Electrical Panel B","Cuadro eléctrico B de la primera planta","Elektriciteitskast B op de eerste verdieping","Tableau électrique B du premier étage"
electricity:elec_panel_b_top_header,"Top Row Circuit Breakdown (Protection & Lighting / Salón):","Desglose de los circuitos de la fila superior (protección e iluminación / salón):","Overzicht van de bovenste rij (beveiliging en verlichting / Salón):","Défaillance du circuit de la rangée du haut (protection et éclairage / Salon) :"
electricity:elec_photo_1,"Garage electrical panel (Gate, Alumbrado, C10 & C25 pool pumps) in the car park corridor next to the lift.","Cuadro eléctrico del garaje (portón, alumbrado, bombas de piscina C10 y C25) en el pasillo del aparcamiento, junto al ascensor.","De elektriciteitskast van de garage (poort, verlichting, zwembadpompen C10 en C25) bevindt zich in de parkeergang naast de lift.","Tableau électrique du garage (portail, éclairage, pompes de piscine C10 et C25) situé dans le couloir du parking, à côté de l&#x27;ascenseur."
electricity:elec_photo_2,"First floor electrical panel A.","Cuadro eléctrico A de la primera planta.","Elektriciteitskast A op de eerste verdieping.","Tableau électrique A du premier étage."
electricity:elec_photo_3,"First floor electrical panel B.","Cuadro eléctrico B de la primera planta.","Elektriciteitskast B op de eerste verdieping.","Tableau électrique B du premier étage."
electricity:elec_photo_dig1,"1. The 13 small residential meters – one per apartment.","1. Los 13 contadores domésticos pequeños: uno por piso.","1. De 13 kleine meterstanden voor woningen – één per appartement.","1. Les 13 petits compteurs résidentiels – un par appartement."
electricity:elec_photo_dig2,"2. Large meter A – common areas.","2. Contador grande A: zonas comunes.","2. Grote meter A – gemeenschappelijke ruimtes.","2. Grand compteur A – parties communes."
electricity:elec_photo_dig3,"3. Large meter B – additional utility or pool installation.","3. Contador grande B: instalación adicional para servicios públicos o piscina.","3. Grote meter B – extra aansluiting voor nutsvoorzieningen of zwembadinstallatie.","3. Grand compteur B – installation supplémentaire pour un service public ou une piscine."
electricity:elec_photo_main,"Main building switch / mechanical master breaker cabinet.","Interruptor del edificio principal / armario de interruptores principales mecánicos.","Hoofdschakelaar van het gebouw / mechanische hoofdschakelkast.","Interrupteur principal du bâtiment / armoire de commande mécanique principale."
electricity:elec_photo_outdoor,"Main outdoor electrical cabinet containing the utility meters.","Armario eléctrico exterior principal que alberga los contadores de servicios públicos.","Hoofdschakelkast voor buiten, waarin de energiemeters zijn ondergebracht.","Armoire électrique extérieure principale abritant les compteurs."
electricity:elec_pool_fuse_c10,"Fuse C10 (Water Jets): Dedicated circuit for the secondary water jet pump, operating with a lower electricity consumption.","Fusible C10 (chorros de agua): Circuito específico para la bomba secundaria de chorros de agua, que funciona con un menor consumo eléctrico.","Zekering C10 (waterstralen): Apart stroomcircuit voor de secundaire waterstraalpomp, dat met een lager stroomverbruik werkt.","Fusible C10 (jets d&#x27;eau) : circuit dédié à la pompe secondaire des jets d&#x27;eau, fonctionnant avec une consommation électrique réduite."
electricity:elec_pool_fuse_c25,"Fuse C25 (Filter Pump): Dedicated circuit for the main pool filtration pump, which handles the highest electricity consumption.","Fusible C25 (bomba de filtración): Circuito específico para la bomba principal de filtración de la piscina, que es la que más electricidad consume.","Zekering C25 (filterpomp): Een apart stroomcircuit voor de hoofdfilterpomp van het zwembad, die het hoogste stroomverbruik heeft.","Fusible C25 (pompe de filtration) : circuit dédié à la pompe de filtration principale de la piscine, qui représente la plus grande partie de la consommation électrique."
electricity:electricity_meters_desc,"All installed electricity meters are digital smart meters (standardized utility models equipped with an LCD display and optical interface) featuring automated remote readout and smart grid telemetry. This allows Portillo to continuously record consumption data remotely without requiring manual, on-site meter readings.","Todos los contadores eléctricos instalados son contadores inteligentes digitales (modelos normalizados equipados con una pantalla LCD y una interfaz óptica) que cuentan con lectura remota automatizada y telemetría de red inteligente. Esto permite a Portillo registrar de forma continua los datos de consumo de forma remota, sin necesidad de realizar lecturas manuales in situ.","Alle geïnstalleerde elektriciteitsmeters zijn digitale slimme meters (gestandaardiseerde modellen, uitgerust met een LCD-scherm en een optische interface) die zijn voorzien van automatische aflezing op afstand en telemetrie voor het slimme netwerk. Hierdoor kan Portillo continu op afstand verbruiksgegevens registreren, zonder dat er handmatige meteropnames ter plaatse nodig zijn.","Tous les compteurs électriques installés sont des compteurs intelligents numériques (modèles standardisés équipés d&#x27;un écran LCD et d&#x27;une interface optique) dotés d&#x27;une fonction de relevé automatisé à distance et de télémétrie pour réseau intelligent. Cela permet à Portillo d&#x27;enregistrer en continu les données de consommation à distance, sans avoir à procéder à des relevés manuels sur place."
electricity:electricity_meters_lbl,"Meter Technology & Reading:","Tecnología y lectura de contadores:","Metertechnologie en meterstandenopname:","Technologie des compteurs et relevés :"
electricity:electricity_provider_title,"Provider Details","Datos del proveedor","Gegevens van de aanbieder","Coordonnées du prestataire"
electricity:electricity_text,"Information about electrical infrastructure, meters, breakers, and provider details.","Información sobre la infraestructura eléctrica, los contadores, los interruptores y los datos del proveedor.","Informatie over de elektrische infrastructuur, meters, stroomonderbrekers en gegevens van de leverancier.","Informations concernant l&#x27;installation électrique, les compteurs, les disjoncteurs et les coordonnées du fournisseur d&#x27;électricité."
electricity:electricity_title,"Electricity","Electricidad","Elektriciteit","Électricité"
electricity:nav_about,"About","Acerca de","Over","À propos"
electricity:nav_contacts,"Contacts","Contactos","Contactpersonen","Contacts"
electricity:nav_documents,"Documents","Documentos","Documenten","Documents"
electricity:nav_electricity,"Electricity","Electricidad","Elektriciteit","Électricité"
electricity:nav_elevator,"Elevator","Ascensor","Lift","Ascenseur"
electricity:nav_emergency,"Emergency","Emergencia","Noodsituatie","Urgence"
electricity:nav_garage,"Garage & Gate","Garaje y verja","Garage en poort","Garage et portail"
electricity:nav_home,"Home","Inicio","Home","Accueil"
electricity:nav_insurance,"Insurance","Seguros","Verzekering","Assurance"
electricity:nav_internet,"Internet","Internet","Internet","Internet"
electricity:nav_keys,"Technical Room Keys","Claves técnicas de la sala","Sleutels voor technische ruimtes","Clés des locaux techniques"
electricity:nav_maintenance,"Maintenance","Mantenimiento","Onderhoud","Maintenance"
electricity:nav_water,"Water","Agua","Water","Eau"
electricity:title,"Mirador del Mar – Palomares","Mirador del Mar – Palomares","Mirador del Mar – Palomares","Mirador del Mar – Palomares"
elevator:elevator_gallery_title,"Elevator Reference Photos","Fotos de Referencia del Ascensor","Referentiefoto's van de Lift","Photos de Référence de l'Ascenseur"
elevator:elevator_intro,"This building is equipped with an Otis elevator from 2007, which over the years has been fitted with several modern upgrades, including a digital information screen. In this chapter, we discuss the most important safety features, what you should do in case of an emergency, and how the door sensors work in detail.","Este edificio está equipado con un ascensor Otis de 2007, que a lo largo de los años se ha dotado de varias mejoras modernas, incluyendo una pantalla de información digital. En este capítulo, explicamos las funciones de seguridad más importantes, qué hacer en caso de emergencia y cómo funcionan en detalle los sensores de las puertas.","Dit gebouw is uitgerust met een Otis-lift uit 2007, die in de loop der jaren is voorzien van diverse moderne upgrades, waaronder een digitaal informatiescherm. In dit hoofdstuk bespreken we de belangrijkste veiligheidsfuncties, wat je moet doen in geval van nood, en hoe de deursensoren precies werken.","Cet immeuble est équipé d'un ascenseur Otis datant de 2007, doté au fil des ans de plusieurs améliorations modernes, dont un écran d'information numérique. Dans ce chapitre, nous présentons les principales consignes de sécurité, la marche à suivre en cas d'urgence et le fonctionnement détaillé des capteurs de porte."
elevator:elevator_photo_1,"Inspection sticker & Otis 24h contact","Pegatina de inspección y contacto Otis 24h","Inspectiesticker & Otis 24h contact","Autocollant d'inspection & contact Otis 24h"
elevator:elevator_photo_2,"Left door frame IR sensor","Sensor IR en el marco izquierdo de la puerta","IR-sensor linker deurpost","Capteur IR du cadre de porte gauche"
elevator:elevator_photo_3,"Right door frame IR sensor","Sensor IR en el marco derecho de la puerta","IR-sensor rechter deurpost","Capteur IR du cadre de porte droit"
elevator:elevator_photo_4,"Button panel with yellow emergency alarm","Panel de botones con alarma amarilla de emergencia","Knoppenpaneel met gele noodknop","Panneau de boutons avec alarme d'urgence jaune"
elevator:elevator_photo_5,"Built-in intercom microphone/speaker","Micrófono/altavoz del interfono integrado","Ingebouwde intercom microfoon/speaker","Micro/haut-parleur de l'interphone intégré"
elevator:elevator_photo_6,"Otis e-View digital display (450kg / 6 Pers)","Pantalla digital Otis e-View (450kg / 6 Pers)","Otis e-View digitaal display (450kg / 6 Pers)","Écran numérique Otis e-View (450kg / 6 Pers)"
elevator:elevator_photo_lbl_1,"Photo 1:","Foto 1:","Foto 1:","Photo 1 :"
elevator:elevator_photo_lbl_2,"Photo 2:","Foto 2:","Foto 2:","Photo 2 :"
elevator:elevator_photo_lbl_3,"Photo 3:","Foto 3:","Foto 3:","Photo 3 :"
elevator:elevator_photo_lbl_4,"Photo 4:","Foto 4:","Foto 4:","Photo 4 :"
elevator:elevator_photo_lbl_5,"Photo 5:","Foto 5:","Foto 5:","Photo 5 :"
elevator:elevator_photo_lbl_6,"Photo 6:","Foto 6:","Foto 6:","Photo 6 :"
elevator:elevator_sec1_intro,"A common question is what you should do if the elevator unexpectedly gets stuck. After all, there is no 4G signal in the underground parking garage, making it often impossible to use a mobile phone. Fortunately, the elevator is equipped with an independent emergency system:","Una pregunta frecuente es qué hacer si el ascensor se queda atascado inesperadamente. Al fin y al cabo, en el garaje subterráneo no hay señal 4G, por lo que a menudo es imposible usar el teléfono móvil. Afortunadamente, el ascensor está equipado con un sistema de emergencia independiente:","Een veelgestelde vraag is wat je moet doen als de lift onverhoopt vast komt te zitten. In de ondergrondse parkeergarage is er immers geen 4G-signaal, waardoor het gebruik van een mobiele telefoon vaak onmogelijk is. Gelukkig is de lift uitgerust met een onafhankelijk noodsysteem:","Une question fréquente concerne la marche à suivre si l'ascenseur venait à se bloquer. En effet, il n'y a pas de réseau 4G dans le garage souterrain, ce qui rend l'utilisation d'un téléphone portable souvent impossible. Heureusement, l'ascenseur est équipé d'un système d'urgence indépendant :"
elevator:elevator_sec1_item1,"The yellow emergency button: At the bottom of the control panel, you will find a prominent yellow button with a bell symbol (see lift4.jpeg). This is not a simple buzzer that only sounds locally in the hallway.","El botón amarillo de emergencia: En la parte inferior del panel de control encontrarás un botón amarillo destacado con el símbolo de una campana (ver lift4.jpeg). No se trata de un simple zumbador que solo suena localmente en el pasillo.","De gele noodknop: Op het bedieningspaneel vind je onderaan een opvallende gele knop met een belsymbool (zie lift4.jpeg). Dit is geen simpele zoemer die alleen lokaal in de gang klinkt.","Le bouton d'urgence jaune : En bas du panneau de commande se trouve un bouton jaune très visible portant un symbole de cloche (voir lift4.jpeg). Il ne s'agit pas d'un simple avertisseur sonore résonnant uniquement dans le couloir."
elevator:elevator_sec1_item2,"Direct connection: If you press and hold this button for at least 3 to 5 seconds, you activate the built-in intercom (the microphone and speaker are located behind the perforated holes in the cabin wall, seen in lift5.jpeg).","Conexión directa: Si mantienes pulsado este botón durante al menos 3 a 5 segundos, activas el interfono integrado (el micrófono y el altavoz se encuentran detrás de los orificios en la pared de la cabina, como se ve en lift5.jpeg).","Directe verbinding: Als je deze knop minimaal 3 tot 5 seconden ingedrukt houdt, activeer je de ingebouwde intercom (de microfoon en speaker bevinden zich achter de gaatjes in de cabine, te zien op lift5.jpeg).","Connexion directe : En maintenant ce bouton enfoncé pendant au moins 3 à 5 secondes, vous activez l'interphone intégré (le micro et le haut-parleur se trouvent derrière les petites perforations de la paroi de la cabine, visibles sur lift5.jpeg)."
elevator:elevator_sec1_item3,"Independent of your mobile: The elevator has its own built-in landline (or a specialized module with an external antenna outside the shaft). The call goes directly through to the 24/7 Otis dispatch center. Therefore, you can always call for help, even without a 4G signal on your own phone.","Independiente de tu móvil: El ascensor dispone de su propia línea telefónica fija integrada (o un módulo especial con antena exterior fuera del hueco). La llamada se conecta directamente con el centro de atención de emergencias 24/7 de Otis. Por lo tanto, siempre puedes pedir ayuda, incluso sin señal 4G en tu teléfono.","Onafhankelijk van je mobiel: De lift heeft een eigen, ingebouwde vaste telefoonlijn (of een speciale module met een externe antenne buiten de schacht). De oproep gaat direct door naar de 24/7 meldkamer van Otis. Je kunt dus altijd om hulp roepen, zelfs zonder 4G-signaal op je eigen telefoon.","Indépendant de votre portable : L'ascenseur dispose de sa propre ligne téléphonique fixe intégrée (ou d'un module spécialisé avec antenne externe à l'extérieur de la gaine). L'appel est transmis directement au centre d'urgence Otis accessible 24h/24 et 7j/7. Vous pouvez donc toujours appeler à l'aide, même sans réseau 4G sur votre téléphone."
elevator:elevator_sec1_item4,"Status display: On the modern digital color screen (visible in lift6.jpeg), you will also see a bell symbol. This icon displays the status of the emergency connection.","Pantalla de estado: En la moderna pantalla digital a color (visible en lift6.jpeg) también verás el símbolo de una campana. Este icono muestra el estado de la conexión de emergencia.","Statusweergave: Op het moderne digitale kleurenscherm (zichtbaar op lift6.jpeg) zie je ook een belsymbool staan. Dit icoon geeft de status van de noodverbinding weer.","Affichage du statut : Sur l'écran numérique couleur moderne (visible sur lift6.jpeg), vous verrez également une icône de cloche. Cette icône indique le statut de la liaison d'urgence."
elevator:elevator_sec1_title,"1. What to Do in Case of Emergency (Elevator Blockage)?","1. ¿Qué hacer en caso de emergencia (bloqueo del ascensor)?","1. Wat te doen in geval van nood (Liftblokkering)?","1. Que faire en cas d'urgence (ascenseur bloqué) ?"
elevator:elevator_sec2_intro,"You may have noticed that if you hold a shopping bag between the closing doors, the door simply continues closing until it physically collides with the bag. Why is this?","Es posible que hayas notado que si sostienes una bolsa de la compra entre las puertas mientras se cierran, la puerta continúa cerrándose hasta que choca físicamente con la bolsa. ¿A qué se debe esto?","Het is je misschien opgevallen dat als je een boodschappentas tussen de sluitende deuren houdt, de deur gewoon doorgaat met sluiten totdat deze fysiek tegen de tas botst. Hoe kan dit?","Vous avez peut-être remarqué que si vous tenez un sac de courses entre les portes en train de se fermer, la porte continue sa course jusqu'à entrer en contact physique avec le sac. Pourquoi ?"
elevator:elevator_sec2_item1,"Single Infrared (IR) beam: Unlike very modern elevators that use a ""light curtain"" (dozens of sensors across the full height of the door), this 2007 elevator is equipped with a single optical sensor (a so-called point-to-point photocell).","Haz infrarrojo (IR) único: A diferencia de los ascensores muy modernos que utilizan una ""cortina de luz"" (decenas de sensores a lo largo de toda la altura de la puerta), este ascensor de 2007 está equipado con un único sensor óptico (una célula fotoeléctrica punto a punto).","Enkele Infrarood (IR) straal: In tegenstelling tot zeer moderne liften die een 'lichtgordijn' (tientallen sensoren over de hele hoogte van de deur) gebruiken, is deze lift uit 2007 uitgerust met een enkelvoudige optische sensor (een zogeheten punt-tot-punt fotocel).","Faisceau infrarouge (IR) unique : Contrairement aux ascenseurs très récents équipés d'un « rideau lumineux » (des dizaines de capteurs sur toute la hauteur de la porte), cet ascenseur de 2007 est doté d'un capteur optique unique (une cellule photoélectrique point à point)."
elevator:elevator_sec2_item2,"The blind spot: You can spot these sensors as the round, dark caps on the door frames (see lift2.jpeg and lift3.jpeg). They are located at a fixed height (usually around knee level). If your shopping bag or hand is positioned just above or below this invisible horizontal beam, the sensor detects nothing at all.","El punto ciego: Puedes localizar estos sensores como los tapones redondos y oscuros en los marcos de la puerta (ver lift2.jpeg y lift3.jpeg). Están situados a una altura fija (normalmente a la altura de las rodillas). Si tu bolsa o tu mano se encuentran justo por encima o por debajo de este haz horizontal invisible, el sensor no detectará absolutamente nada.","De blinde vlek: Je kunt deze sensoren zien als de ronde, donkere dopjes op de deurposten (zie lift2.jpeg en lift3.jpeg). Ze bevinden zich op een vaste hoogte (meestal rond kniehoogte). Als jouw boodschappentas of hand zich nét boven of onder deze onzichtbare horizontale straal bevindt, detecteert de sensor helemaal niets.","L'angle mort : Vous pouvez repérer ces capteurs sous la forme de petits bouchons sombres et ronds sur le cadre des portes (voir lift2.jpeg et lift3.jpeg). Ils sont situés à une hauteur fixe (généralement à hauteur de genou). Si votre sac de courses ou votre main se trouve juste au-dessus ou en dessous de ce faisceau horizontal invisible, le capteur ne détecte absolument rien."
